ts_deteccion_utc,market_id,activo,ventana_min,direccion,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-21T09:37:04+00:00,3740972,SOL,5,BUY_YES,124.28,175.7,0.59,29.7,0.6
2026-08-21T09:37:04+00:00,3740969,BTC,5,BUY_YES,124.29,175.7,0.61,749.2,0.61
2026-08-21T09:40:02+00:00,3741497,SOL,5,BUY_YES,2.03,298.0,0.7,451.5,0.6
2026-08-21T09:40:06+00:00,3741498,BTC,5,BUY_NO,6.37,293.6,0.42,224.5,0.59
2026-08-21T09:41:03+00:00,3741498,BTC,5,BUY_YES,63.69,236.3,0.58,685.0,0.58
2026-08-21T09:45:02+00:00,3741530,BTC,15,BUY_NO,2.06,897.9,0.37,3789.0,0.61
2026-08-21T09:45:02+00:00,3741532,BTC,5,BUY_NO,2.33,297.7,0.31,2561.0,0.65
2026-08-21T09:45:30+00:00,3741537,SOL,5,BUY_YES,30.75,269.2,0.57,128.1,0.57
2026-08-21T09:46:02+00:00,3741532,BTC,5,BUY_YES,62.86,237.1,0.57,851.8,0.56
2026-08-21T09:50:07+00:00,3741580,SOL,5,BUY_YES,2.34,297.7,0.61,120.5,0.62
2026-08-21T09:50:07+00:00,3741584,BTC,5,BUY_YES,2.31,297.7,0.55,923.2,0.55
2026-08-21T09:50:14+00:00,3741584,BTC,5,BUY_NO,14.7,285.3,0.41,404.8,0.6
2026-08-21T09:55:08+00:00,3741662,SOL,5,BUY_YES,7.83,292.2,0.55,0.0,0.58
2026-08-21T09:55:16+00:00,3741665,BTC,5,BUY_NO,16.03,284.0,0.45,0.0,0.59
2026-08-21T10:00:03+00:00,3741678,BTC,5,BUY_YES,2.57,297.4,0.62,3022.7,0.56
2026-08-21T10:00:02+00:00,3741691,SOL,5,BUY_YES,2.39,297.6,0.67,33.3,0.7
2026-08-21T10:00:28+00:00,3741678,BTC,5,BUY_NO,27.84,272.2,0.4,742.7,0.61
2026-08-21T10:00:28+00:00,3741687,BTC,15,BUY_NO,27.86,872.1,0.45,1848.1,0.55
2026-08-21T10:05:09+00:00,3741824,BTC,5,BUY_YES,9.02,291.0,0.56,1322.1,0.55
2026-08-21T10:05:23+00:00,3741827,SOL,5,BUY_YES,23.36,276.6,0.57,40.0,0.58
2026-08-21T10:06:15+00:00,3741824,BTC,5,BUY_NO,75.06,224.9,0.45,717.8,0.55
2026-08-21T10:10:03+00:00,3741840,BTC,5,BUY_YES,2.12,297.9,0.75,342.1,0.77
2026-08-21T10:10:04+00:00,3741841,SOL,5,BUY_YES,4.28,295.7,0.67,68.6,0.67
2026-08-21T10:15:02+00:00,3741920,BTC,5,BUY_NO,2.04,298.0,0.41,197.7,0.6
2026-08-21T10:15:02+00:00,3741929,SOL,5,BUY_YES,2.14,297.9,0.62,502.7,0.51
2026-08-21T10:15:03+00:00,3741915,BTC,15,BUY_NO,2.04,898.0,0.44,1449.4,0.53
2026-08-21T10:15:22+00:00,3741920,BTC,5,BUY_YES,20.49,279.5,0.56,849.9,0.56
2026-08-21T10:20:02+00:00,3741935,SOL,5,BUY_YES,2.02,298.0,0.55,78.9,0.55
2026-08-21T10:20:02+00:00,3741936,BTC,5,BUY_YES,2.03,298.0,0.57,407.6,0.57
2026-08-21T10:20:23+00:00,3741936,BTC,5,BUY_NO,23.7,276.3,0.41,0.0,0.62
2026-08-21T10:25:02+00:00,3741948,BTC,5,BUY_YES,2.04,298.0,0.57,1708.6,0.53
